step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,0.5,0.5,1,,,"For this field experience, I explored how love appears in everyday life at UCSB through moments of connection, friendship, and emotional support. Rather than focusing only on romantic relationships, I wanted to observe the different ways students care for one another and create a sense of belonging on campus. Over several days, I documented ordinary interactions that revealed how love can be expressed through companionship, kindness, and community.

The observations in this exhibition suggest that love at UCSB is not limited to romantic affection. Instead, it often emerges through friendships, supportive social environments, and shared experiences that help students feel seen and valued. Drawing on ideas from Unit 2 readings about vulnerability, intimacy, care, and belonging, I argue that love at UCSB is expressed through everyday acts of connection that strengthen both individual relationships and the broader campus community.",,,,,,,,
